rider_id,origin_node,elapsed_s,time_budget_s,overdue,distance_m,pavement_time_s,red_light_violations,pavement_conflicts,pavement_risk_exposure,severe_conflicts
71,3887905014,1105.0,644.8355517741796,True,3348.4639761773224,220.0,5,5,4.627897435897436,0
137,12725097483,1075.0,716.1576265745001,True,3797.7930474193554,0.0,8,0,0.0,0
78,1619500464,185.0,211.5815897508626,False,618.9640154304345,0.0,1,0,0.0,0
74,3147915554,1345.0,856.9595225897328,True,4684.844992315316,65.0,19,0,0.0,0
146,8972710892,1020.0,654.7306460876663,True,3410.8030703523,40.0,6,1,0.42006076815310717,0
184,107793,710.0,468.1605888348288,True,2235.411709659421,30.0,8,0,0.2719672822907437,0
91,452514276,395.0,337.7910191029488,True,1414.0834203485776,0.0,2,0,0.0,0
76,21651908,825.0,588.6705139485263,True,2994.6242378757124,0.0,6,0,0.0,0
199,26559371,480.0,374.61571153062266,True,1646.0789826429218,0.0,4,0,0.0,0
53,110004,65.0,146.50677292903939,False,208.9926694529482,0.0,0,0,0.0,0
33,1607738730,380.0,330.72117388423163,True,1369.543395470659,0.0,5,0,0.0,0
84,1614926348,790.0,482.9457691290093,True,2328.558345512756,790.0,11,20,25.340563706091658,4
204,25522559,1140.0,633.2653456269799,True,3275.571677449962,320.0,4,7,5.6408524179834805,0
27,5387300688,675.0,485.2597492897065,True,2343.13642052515,0.0,9,0,0.0,0
267,25522558,360.0,307.8113919974728,True,1225.211769584079,0.0,3,0,0.0,0
63,1614846678,765.0,565.5022351085266,True,2848.6640811837183,0.0,11,0,0.0,0
37,9521022,220.0,230.11843454278812,False,735.7461376195646,0.0,2,0,0.0,0
228,9512937,580.0,429.8217146167872,True,1993.8768020857592,0.0,6,0,0.0,0
294,333722489,230.0,243.5673436932185,False,820.4742652672763,0.0,1,0,0.0,0
285,1174754892,1025.0,696.8596482831664,True,3676.2157841839494,0.0,9,0,0.0,0
274,1685938741,1080.0,718.3091584471846,True,3811.347698217263,0.0,10,0,0.0,0
100,8787730932,780.0,571.7312578843997,True,2887.906924671719,0.0,5,0,0.0,0
56,9521029,690.0,500.69097667351105,True,2440.353153043121,0.0,6,0,0.0,0
241,2191480791,980.0,670.1835178248699,True,3508.1561622966733,0.0,9,0,0.0,0
248,1616713423,505.0,401.4558104100405,True,1815.1716055832553,0.0,7,0,0.0,0
280,21665140,765.0,459.90816443550494,True,2183.421435943681,165.0,9,1,2.151159365190015,0
131,9521029,815.0,590.9820441058221,True,3009.186877866678,0.0,7,0,0.0,0
98,1678452820,715.0,490.22531127932587,True,2374.4194610597506,0.0,5,0,0.0,0
261,7261577394,705.0,503.4763427881604,True,2457.9009595654115,0.0,8,0,0.0,0
72,12839778767,495.0,382.6783643892303,True,1696.8736956521507,0.0,7,0,0.0,0
169,108214,540.0,429.5468243400374,True,1992.1449933422361,0.0,9,0,0.0,0
