BusinessName,BusinessType,AddressLine1,PostCode,lon,lat,RatingValue,FHRSID
B.Kitchen,Takeaway/sandwich shop,FIRST FLOOR 385-387 EUSTON ROAD,NW1 3AU,-0.1433105,51.5235736,5,1843265
Baaria,Restaurant/Cafe/Canteen,76-78 CHARING CROSS ROAD,WC2H 0BD,-0.1286033,51.5126591,5,1453025
Babouch,Restaurant/Cafe/Canteen,29 PORTLAND PLACE,W1B 1QB,-0.1456393,51.5198335,5,1257280
Bacchanalia,Restaurant/Cafe/Canteen,CONNAUGHT HOUSE 1-3 MOUNT STREET,W1K 3NB,-0.1476195,51.5104674,5,1553355
Backstage Bites,Restaurant/Cafe/Canteen,GROUND FLOOR AND BASEMENT 20 BEDFORD STREET,WC2E 9HP,-0.1250822,51.5107658,5,1770760
BAD BOY PIZZA SOCIETY LTD,Restaurant/Cafe/Canteen,SEven Dials Market,WC2H 9LD,-0.1263202,51.51396,5,1374069
Badiani,Restaurant/Cafe/Canteen,2 MERCER WALK,WC2H 9FA,-0.1257411,51.5132438,5,1378653
Bafarat Cafe,Restaurant/Cafe/Canteen,6 WARWICK STREET,W1B 5LU,-0.1375581,51.5108746,5,1294846
BAFTA 195 PICCADILLY,Restaurant/Cafe/Canteen,BAFTA 195 PICCADILLY,W1J 9LN,-0.1374175,51.5086692,5,411635
Bag O Nails,Restaurant/Cafe/Canteen,6 BUCKINGHAM PALACE ROAD,SW1W 0PP,-0.1442066,51.4979946,5,427939
Bagel Factory,Takeaway/sandwich shop,UNIT 1 OXFORD CIRCUS STATION 237 OXFORD STREET,W1D 2LR,-0.141059,51.5152548,5,1371835
Bagel Factory,Restaurant/Cafe/Canteen,78 LONG ACRE,WC2E 9NG,-0.1223043,51.5145343,5,1624404
Bagel Factory,Restaurant/Cafe/Canteen,UNIT A BAKER STREET STATION MARYLEBONE ROAD,NW1 5LA,-0.156879,51.5231311,5,1672148
Bagel Factory,Takeaway/sandwich shop,GROUND FLOOR WESTMINSTER STATION BRIDGE STREET,SW1A 2JR,-0.1248658,51.5013128,5,1672147
Bain Capital,Other catering premises,DEVONSHIRE HOUSE MAYFAIR PLACE,W1J 8AJ,-0.1428806,51.5072181,5,1848269
Baked Bird,Takeaway/sandwich shop,,W1T 2PF,-0.1341666,51.5198045,5,1832018
Baker Street Food Station,Restaurant/Cafe/Canteen,2 ALLSOP PLACE,NW1 5LF,-0.1578763,51.524136,5,427776
Balans Restaurant,Restaurant/Cafe/Canteen,GROUND FLOOR 60-62 OLD COMPTON STREET,W1D 4UG,-0.1326895,51.5129285,5,412539
Banana Tree Restaurant / Whats Your Katsu,Restaurant/Cafe/Canteen,103-109 WARDOUR STREET,W1F 0UN,-0.1340799,51.5131125,5,412192
Bancone,Restaurant/Cafe/Canteen,39 WILLIAM IV STREET,WC2N 4DD,-0.126598,51.509648,5,1212849
Bancone Golden Square,Restaurant/Cafe/Canteen,8-10 LOWER JAMES STREET,W1F 9EL,-0.13646,51.5112979,5,1214656
Bang Bang Vietnamese Canteen,Restaurant/Cafe/Canteen,,W1T 5NL,-0.140196,51.524161,5,426057
BANH MI AHA! SOHO,Restaurant/Cafe/Canteen,,WC2H 9BA,-0.124673,51.5144103,5,1676113
Banh Mi Bay,Restaurant/Cafe/Canteen,,WC1X 8PN,-0.1138579,51.5215211,5,426052
Bao Spot,Restaurant/Cafe/Canteen,GROUND FLOOR 4-8 NEWPORT PLACE,WC2H 7JP,-0.1294299,51.5119323,5,1666276
BAR AMERICANO,Restaurant/Cafe/Canteen,18A,WC2A 3HP,-0.1196261,51.5172444,5,1834716
Bar Finch,Restaurant/Cafe/Canteen,31 CORK STREET,W1S 3NQ,-0.1416876,51.510748,5,1918164
Bar Italia,Restaurant/Cafe/Canteen,BASEMENT AND GROUND FLOOR FRONT 22 FRITH STREET,W1D 4RP,-0.1311994,51.5134174,5,413657
Bar Kroketa,Restaurant/Cafe/Canteen,23 BARRETT STREET,W1U 1BF,-0.1501608,51.5149679,5,1712443
Bar Rumba,Restaurant/Cafe/Canteen,36 SHAFTESBURY AVENUE,W1D 7EP,-0.1332634,51.5112015,5,413570
BAR SHU SOHO,Restaurant/Cafe/Canteen,28 FRITH STREET,W1D 5LF,-0.13082,51.5128268,5,413663
Bar Soho,Restaurant/Cafe/Canteen,23-25 OLD COMPTON STREET,W1D 5JL,-0.1308766,51.5132054,5,412519
Bar Termini,Restaurant/Cafe/Canteen,7 OLD COMPTON STREET,W1D 5JE,-0.129792,51.5136467,5,741321
Bardo St James'S,Restaurant/Cafe/Canteen,6 SUFFOLK PLACE,SW1Y 4HX,-0.1308678,51.5081424,5,1474160
Baringa - Thomas Franks,Other catering premises,SIXTH FLOOR PART AND SEVENTH FLOOR 62 BUCKINGHAM GATE,SW1E 6AJ,-0.1368126,51.4977155,5,1662336
BARNABY BARS,Takeaway/sandwich shop,UNIT 2-4 UPPER ST MARTIN?S LANE COVENT GARDEN,WC2H 9EA,-0.1272831,51.5121404,5,1656551
Barrafina,Restaurant/Cafe/Canteen,26 DEAN STREET,W1D 3LL,-0.1325848,51.5140779,5,412866
Barrafina,Restaurant/Cafe/Canteen,BASEMENT AND GROUND FLOOR 43 DRURY LANE,WC2B 5RT,-0.1218962,51.514294,5,546022
Barry's,Takeaway/sandwich shop,59-61 KINGLY STREET,W1B 5QJ,-0.1396747,51.5126888,5,1669415
Barrys BootCamp LTD,Takeaway/sandwich shop,,NW1 2BH,-0.130841001868248,51.5270881652832,5,1047556
Baskin Robbins,Restaurant/Cafe/Canteen,208 BAKER STREET,NW1 5RT,-0.1576644,51.5233143,5,413288
BASTA,Restaurant/Cafe/Canteen,12 NORTH ROW,W1K 7DF,-0.1570522,51.5127743,5,1689931
Baudry & Greene,Restaurant/Cafe/Canteen,,WC2H 9BD,-0.1243495,51.514567,5,1616565
Bayt Sajj Holborn LTD,Restaurant/Cafe/Canteen,,WC1B 5AA,-0.1225869,51.5206269,5,1731680
BBC,Restaurant/Cafe/Canteen,BROADCASTING HOUSE 2-22 PORTLAND PLACE,W1B 1DJ,-0.1440114,51.5187466,5,1182414
