rider_id,origin_node,elapsed_s,time_budget_s,overdue,distance_m,pavement_time_s,red_light_violations,pavement_conflicts,pavement_risk_exposure,severe_conflicts
218,8752950708,375.0,322.1309180439644,True,1315.4247836769769,145.0,2,17,17.196481576653007,0
112,9791490,380.0,327.604973489079,True,1349.9113329811971,150.0,6,8,5.893137921561309,0
211,1832666009,385.0,331.7034841216951,True,1375.73194996668,150.0,2,4,3.552138906808759,0
54,14791188,385.0,327.87603056696355,True,1351.6189925718706,160.0,5,3,5.9277718849733665,0
31,2586635284,390.0,334.5691834635484,True,1393.7858558203557,155.0,5,4,5.34160807696361,0
216,273194,390.0,328.9264000248189,True,1358.2363201563594,155.0,4,13,12.805790324006475,0
252,1497135177,390.0,328.9580689161566,True,1358.435834171786,155.0,3,4,3.88409462827356,0
183,105511,395.0,320.6068471058246,True,1305.8231367666945,170.0,3,27,32.849542753397635,7
149,26652119,395.0,339.913827668007,True,1427.4571143084445,155.0,5,14,11.202056159859195,4
122,107878,400.0,332.2362913416321,True,1379.0886354522818,165.0,4,9,5.629258464769483,0
264,3764054180,400.0,303.5107327273303,True,1198.1176161821809,265.0,5,13,13.260455624003235,0
53,107793,405.0,326.8384262424569,True,1345.0820853274781,175.0,3,19,21.279598185399614,0
166,14077667431,405.0,346.1903790512114,True,1466.9993880226323,160.0,3,16,19.057623028545077,1
19,25507341,405.0,346.8687339158791,True,1471.2730236700388,160.0,4,2,2.93751176677204,0
272,25495442,415.0,329.7548717169854,True,1363.4556918170088,180.0,2,12,10.915689857032888,0
20,12026767,415.0,346.6503897861276,True,1469.8974556526048,170.0,4,2,2.707687737467951,0
148,1619316041,305.0,280.45099804169763,True,1052.8412876626949,105.0,3,10,13.344521114844717,0
131,4457798822,415.0,320.1446655602069,True,1302.911393029303,190.0,1,30,49.8626911566363,11
81,3175297197,420.0,355.0186296888779,True,1522.617367039931,170.0,6,20,26.399406654372342,6
55,7261577394,425.0,326.2518683978459,True,1341.386770906429,245.0,3,8,9.670484900807677,0
22,9791495,430.0,359.3681569786278,True,1550.0193889653551,175.0,6,6,8.848946121852501,0
135,9791487,430.0,308.9446257743333,True,1232.3511423783,215.0,3,25,29.571220230822902,3
170,2784682616,435.0,340.96183274318577,True,1434.0595462820704,235.0,4,13,16.187920118832054,0
