collision_index,longitude,latitude,collision_severity,collision_year
2022131199378,-1.634623,53.819524,3,2022
2022131248047,-1.547942,53.845725,3,2022
2024131487338,-1.71595,53.90522,2,2024
2022481209600,-0.090669,51.51307,3,2022
2023481356323,-0.087721,51.519119,3,2023
2022010362449,-0.175215,51.630777,2,2022
2023010442048,-0.248877,51.610893,3,2023
2022010382279,-0.153643,51.544239,3,2022
2023010468984,-0.323165,51.521201,3,2023
2024010515747,-0.34613,51.54218,3,2024
2022010369216,-0.059598,51.660073,3,2022
2024010531781,-0.1137,51.68559,3,2024
2022010385683,-0.083573,51.573951,3,2022
2023010456371,-0.060059,51.564922,2,2023
2022010394834,-0.200507,51.482955,3,2022
2023010451393,-0.074063,51.583849,3,2023
2023010429320,-0.281599,51.599534,3,2023
2022010405620,-0.457968,51.493395,3,2022
2022010393775,-0.40811,51.435942,3,2022
2024010529464,-0.09398,51.52871,3,2024
2023010451800,-0.138457,51.461852,3,2023
2023010455734,-0.117046,51.49517,3,2023
2022010402257,0.002284,51.445208,3,2022
2022010388328,0.052917,51.535123,3,2022
2023010426517,0.034934,51.530553,3,2023
2024010538790,0.0262,51.54326,3,2024
2023010471227,-0.104506,51.507135,3,2023
2022010359673,-0.216157,51.377092,3,2022
2024010514275,-0.17327,51.47262,2,2024
2024991457998,-3.61814,55.06876,2,2024
2022991210659,-3.159908,55.962942,3,2022
2024991448476,-3.19321,55.97795,3,2024
2022991142780,-3.476036,56.406798,3,2022
202460Q001326,-4.27383,53.14042,3,2024
2022610050622,-3.054185,51.711585,3,2022
202263D056022,-3.319259,52.506832,2,2022
2023041272483,-2.482611,53.746655,3,2023
2022161210615,-0.28608,53.758415,3,2022
2022161235354,-0.069614,53.567168,2,2022
2024161529424,-0.02865,53.55772,3,2024
2023302300965,-1.445757,52.890047,3,2023
2023522400936,-2.582833,51.459845,3,2023
2022351280820,-0.266723,52.560658,3,2022
2023351352567,-0.236552,52.581674,3,2023
2022421154424,0.702491,51.566651,3,2022
2024430083613,-1.32092,51.39855,2,2024
2023552300317,-1.853842,50.724725,3,2023
2023552300687,-1.91084,50.745537,2,2023
2023552300963,-2.453034,50.613737,3,2023
2023430497932,-0.532135,51.51644,3,2023
2023122300485,-1.137004,54.484425,2,2023
2024122400299,-1.56572,54.00655,3,2024
2022061209167,-2.545879,53.599668,2,2022
2023061337649,-2.207021,53.441892,2,2023
2024061404617,-2.11377,53.53141,2,2024
2023061314293,-2.421544,53.529414,3,2023
2023061365244,-2.330822,53.487292,3,2023
2022061157500,-2.131653,53.430529,3,2022
2022061245324,-2.63193,53.490951,3,2022
2022052200864,-2.786627,53.422275,3,2022
2024052400847,-2.88498,53.48303,2,2024
2022052200568,-2.823825,53.342797,3,2022
2022052201583,-2.960559,53.427196,3,2022
2023052302275,-2.844053,53.346431,2,2023
2023052302459,-3.001515,53.449152,3,2023
2024141414323,-1.38398,53.51707,3,2024
2024141506218,-1.47821,53.57763,2,2024
2024141406029,-1.43328,53.36362,2,2024
2023201387633,-1.873131,52.451497,3,2023
2024201436888,-1.90917,52.47844,3,2024
2024201554091,-2.09606,52.59656,3,2024
2022131159097,-1.790004,53.815267,2,2022
2023131341199,-1.756143,53.91842,3,2023
2022131182170,-1.859235,53.723196,3,2022
2022131164963,-1.51398,53.791206,3,2022
2023131304752,-1.57772,53.82127,3,2023
2022010354167,0.151501,51.491044,3,2022
2024010538643,-0.25169,51.53997,2,2024
2023010447578,-0.137584,51.540892,3,2023
2023010461890,-0.125795,51.5228,3,2023
2024010510064,-0.13023,51.53149,3,2024
2022010390936,-0.28928,51.504193,2,2022
2024010552705,-0.06915,51.54747,3,2024
2024010551310,-0.34066,51.5803,3,2024
2022010386449,-0.441175,51.481051,3,2022
2022010414091,-0.103063,51.542209,3,2022
2022010375811,-0.128979,51.432413,3,2022
2024010530579,-0.13582,51.45597,3,2024
2024010522868,0.00565,51.43529,3,2024
2024010519271,0.08444,51.59381,3,2024
2022010379441,-0.10359,51.494153,3,2022
2023010473399,-0.093141,51.472149,3,2023
2022010399736,-0.013789,51.523142,3,2022
2023010465573,-0.055931,51.519954,3,2023
2024010523970,-0.05628,51.51981,3,2024
2023010432780,-0.009873,51.558731,3,2023
2023010433622,-0.16643,51.43197,3,2023
2023010450654,-0.168349,51.471397,3,2023
