"count_point_id","year","region_id","region_name","local_authority_id","local_authority_name","road_name","road_type","start_junction_road_name","end_junction_road_name","easting","northing","latitude","longitude","link_length_km","link_length_miles","estimation_method","estimation_method_detailed","pedal_cycles","two_wheeled_motor_vehicles","cars_and_taxis","buses_and_coaches","lgvs","hgvs_2_rigid_axle","hgvs_3_rigid_axle","hgvs_4_or_more_rigid_axle","hgvs_3_or_4_articulated_axle","hgvs_5_articulated_axle","hgvs_6_articulated_axle","all_hgvs","all_motor_vehicles"
6120,2024,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Manual count",2094,2836,24109,2004,5359,532,119,102,18,7,18,795,35103
6120,2025,6,"London",109,"Westminster","A4","Major","Hyde Park Corner","St James St",528900,180220,51.50622100,-0.14408857,0.9,0.6,"Counted","Automatic counter",2273,3758,31557,2684,7104,699,156,130,23,9,23,1041,46143
6152,2000,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Counted","Manual count",1544,1548,27204,1571,5018,1670,113,87,54,35,26,1985,37326
6152,2001,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Estimated","Estimated using AADF from previous year on this link",1599,1745,25436,1563,5003,1540,122,81,50,32,32,1857,35604
6152,2002,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Estimated","Estimated using AADF from previous year on this link",1526,1642,22689,1807,4528,1581,136,90,42,26,32,1907,32573
6152,2003,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Counted","Manual count",653,1577,26984,2489,4745,1103,146,67,50,41,24,1431,37226
6152,2004,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Estimated","Estimated using AADF from previous year on this link",932,2047,29359,2685,5058,1033,144,68,55,42,32,1374,40523
6152,2005,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Estimated","Estimated using AADF from previous year on this link",1051,1938,29447,2666,5645,1139,156,79,41,30,28,1473,41169
6152,2006,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Counted","Manual count",1246,2317,30108,2587,9156,1011,103,51,52,45,28,1290,45458
6152,2007,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Estimated","Estimated using AADF from previous year on this link",1050,1923,27398,2695,8808,1084,110,60,52,49,33,1388,42212
6152,2008,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Estimated","Estimated using AADF from previous year on this link",1028,1794,26413,2862,8244,1063,122,63,46,45,33,1372,40685
6152,2009,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Counted","Manual count",1010,1319,25218,2895,5522,1089,131,121,41,30,28,1440,36394
6152,2010,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Counted","Manual count",959,1509,25691,3007,5664,1138,112,76,69,51,32,1478,37349
6152,2011,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Estimated","Estimated using AADF from previous year on this link",951,1496,25486,3091,5619,1134,120,86,54,51,34,1479,37171
6152,2012,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Counted","Manual count",951,1205,22811,2825,5019,553,190,187,8,36,85,1059,32919
6152,2013,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Estimated","Estimated using AADF from previous year on this link",785,1156,21949,2746,5235,586,217,223,8,46,117,1197,32283
6152,2014,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Estimated","Estimated using AADF from previous year on this link",788,1177,22698,2661,5453,582,234,237,8,40,117,1217,33207
6152,2015,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Estimated","Estimated using AADF from previous year on this link",743,1224,24007,2495,5236,542,235,221,9,40,117,1164,34126
6152,2016,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Estimated","Estimated using AADF from previous year on this link",769,1313,23511,2638,5401,533,221,310,9,40,133,1246,34110
6152,2017,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Estimated","Estimated using AADF from previous year on this link",751,1361,23504,2533,5356,524,235,266,9,40,129,1203,33956
6152,2018,6,"London",109,"Westminster","A5","Major","Sussex Gdns","Seymour St",527500,181240,51.51570504,-0.16388112,0.6,0.4,"Counted","Manual count",898,1260,24543,2258,6290,516,112,92,26,44,30,821,35173
